Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
19.26,52.15,242,400,13129,20021,939.585,0.46,0.48,3.16,0.493,0.011,1
-4.654,55.54,690,675,12794,19563,939.143,2.12,2.2,14.59,2.276,0.051,1
20.626,53.87,1230,407,12915,19419,938.713,1.87,1.95,12.9,2.012,0.045,1
18.3,56.61,298,400,13115,19967,939.449,0.39,0.41,2.7,0.422,0.01,1
24.93,51.67,1113,509,12846,19449,938.889,2.16,2.24,14.85,2.316,0.052,1
22.077,53.57,49,400,13124,20007,939.628,0.64,0.67,4.42,0.69,0.016,0
12.209,46.72,75,449,12786,20680,937.511,2.24,2.33,15.45,2.409,0.054,0
26.68,48.81,1377,400,12982,19384,938.734,1.88,1.96,12.97,2.023,0.046,1
26.29,50.79,1017,530,12846,19476,938.898,2.03,2.11,13.98,2.18,0.049,1
-0.265,31.65,60000,2296,12094,17850,936.857,225.49,234.28,1551.98,242.013,5.466,0
24.649,49.1,14,400,13133,20045,939.607,0.58,0.6,3.97,0.619,0.014,0
-7.559,55.09,189,400,13160,20088,939.63,0.82,0.85,5.61,0.875,0.02,1
25.99,52.44,1013,400,13009,19472,938.741,1.91,1.99,13.16,2.052,0.046,1
20.12,59.42,286,400,13130,19924,939.665,1.74,1.81,12,1.871,0.042,1
22.83,57.32,674,681,12796,19580,939.178,2.4,2.5,16.55,2.581,0.058,1
46.12,30.06,60000,5314,11603,16963,936.883,1914.75,1989.36,13178.46,2055.024,46.415,0
-7.196,52.1,201,400,13148,20057,939.634,1.11,1.15,7.62,1.188,0.027,1
19.507,47.43,1187,406,12908,19435,938.715,1.62,1.68,11.16,1.74,0.039,1
29.86,38.82,29,424,12865,20768,937.593,1.95,2.02,13.41,2.09,0.047,0
28.6,60.09,2337,400,13400,20032,936.948,0.77,0.8,5.28,0.823,0.019,0
24.587,55.68,0,400,12732,19772,939.843,0.15,0.2,0.97,0.211,0.041,0
-4.271,56.39,292,400,13120,19970,939.375,0.3,0.31,2.04,0.318,0.007,1
25.06,50.97,1230,413,12919,19419,938.7,1.77,1.84,12.16,1.896,0.043,1
-4.583,49.67,252,400,13132,20019,939.518,0.5,0.52,3.44,0.536,0.012,1
26.69,48.59,1333,400,12967,19394,938.714,1.85,1.92,12.75,1.988,0.045,1
5.721,59.65,310,400,13113,19895,939.682,1.11,1.16,7.66,1.194,0.027,1
27.02,47.55,1163,400,12901,19441,938.742,1.77,1.84,12.16,1.896,0.043,1
13.824,52.98,1088,614,12816,19464,939.067,1.79,1.86,12.33,1.923,0.043,1
12.974,53.61,1136,401,12886,19441,938.754,1.53,1.59,10.56,1.647,0.037,1
-20.407,51.7,1299,400,12974,19405,938.737,2.01,2.08,13.8,2.152,0.049,1
-8.329,48.64,40,400,13240,20175,939.693,2.5,2.59,17.17,2.678,0.06,1
26.8,45.39,132,408,12816,20636,937.473,2.27,2.36,15.65,2.44,0.055,0
18.302,49.35,1134,400,12913,19447,938.709,1.63,1.69,11.2,1.747,0.039,1
-20.731,53.87,1333,405,12965,19391,938.749,2,2.08,13.78,2.149,0.049,1
0.561,55.34,933,674,12785,19501,939.119,2.21,2.3,15.24,2.376,0.054,1
17.377,15.75,621,400,13725,20570,936.656,0.59,0.61,4.06,0.634,0.014,0
15.742,53.76,1189,400,12933,19433,938.729,1.39,1.45,9.58,1.494,0.034,1
24.79,52.16,1176,527,12844,19447,938.871,2.34,2.43,16.12,2.513,0.057,1
23.61,54.83,969,666,12790,19489,939.082,2.34,2.43,16.08,2.507,0.057,1
-4.851,53.74,1358,417,12953,19383,938.717,1.94,2.01,13.33,2.078,0.047,1
24.31,53.41,1166,400,13014,19434,938.763,2.05,2.13,14.08,2.196,0.05,1
25.1,49.78,1140,588,12814,19445,938.99,1.92,1.99,13.2,2.058,0.046,1
26.98,47.84,1350,400,12979,19390,938.721,1.63,1.69,11.22,1.749,0.04,1
13.19,51.38,30,400,12938,19878,939.76,0.27,0.28,1.88,0.293,0.007,0
-5.053,65.05,598,520,12884,19656,939.213,2.39,2.48,16.44,2.564,0.058,1
24.57,53.13,1170,465,12863,19440,938.83,2.14,2.22,14.7,2.292,0.052,1
12.98,48.6,1074,431,12875,19452,938.818,1.94,2.02,13.36,2.084,0.047,1
13.853,51.82,135,400,13167,20043,939.662,0.96,1,6.63,1.033,0.023,0
29.65,39.61,56,405,12847,20729,937.541,2.16,2.25,14.89,2.322,0.052,0
21.6,49.17,186,400,13167,20079,939.673,0.86,0.89,5.91,0.922,0.021,1
12.461,52.87,1138,408,12881,19443,938.761,1.62,1.69,11.16,1.741,0.039,1
-9.243,48.92,40,400,13246,20209,939.724,2.52,2.62,17.35,2.705,0.061,1
-4.112,47.41,150,410,12781,20578,937.406,2.17,2.25,14.91,2.324,0.052,0
4.094,53.37,981,664,12786,19483,939.061,2.22,2.3,15.26,2.38,0.054,1
57.2,12.87,60000,8033,11470,16845,936.732,726.1,890.61,4655.2,942.204,149.824,0
-14.027,54.01,1360,406,12954,19382,938.722,1.65,1.72,11.39,1.776,0.04,1
24.72,52.62,1090,435,12872,19449,938.798,1.96,2.04,13.52,2.108,0.048,1
20.75,48.82,106,400,13224,20100,939.668,2.03,2.11,13.99,2.181,0.049,1
19.722,51.74,1254,411,12922,19426,938.687,1.74,1.8,11.96,1.864,0.042,1
-2.487,52.08,1362,413,12987,19399,938.804,2.09,2.18,14.42,2.248,0.051,1
-9.165,55.34,54,400,13243,20202,939.708,2.18,2.26,14.99,2.338,0.053,1
-4.167,56.2,316,400,13110,19951,939.417,0.28,0.29,1.93,0.302,0.007,1
12.392,39.69,0,400,13118,20947,937.447,2.11,2.19,14.54,2.267,0.051,0
4.368,54.03,1333,409,12990,19397,938.796,2.31,2.41,15.93,2.484,0.056,1
26.96,47.36,1046,543,12837,19470,938.91,1.99,2.07,13.72,2.139,0.048,1
12.228,48.89,135,400,13169,20040,939.623,0.83,0.86,5.68,0.886,0.02,0
21.77,58.15,868,950,12650,19517,939.157,2.83,2.94,19.45,3.034,0.069,1
11.313,52.94,1040,618,12810,19474,939.077,2.05,2.13,14.12,2.202,0.05,1
19.57,63.65,605,553,12865,19649,939.218,2.98,3.1,20.54,3.202,0.072,1
29.27,40.52,49,410,12819,20713,937.489,2.12,2.2,14.6,2.277,0.051,0
26.83,47.26,1069,607,12818,19466,939.101,2.13,2.21,14.63,2.281,0.052,1
27.095,56.82,7,400,13018,19924,939.761,0.14,0.14,0.93,0.145,0.003,0
-4.081,49.73,290,400,13117,19980,939.42,0.45,0.46,3.08,0.48,0.011,1
26.2,52.18,1186,400,12916,19435,938.726,1.76,1.83,12.1,1.887,0.043,1
18.24,56.7,292,400,13110,19960,939.407,0.23,0.24,1.59,0.248,0.006,1
8.178,53.73,1061,646,12798,19462,939.063,2.43,2.52,16.71,2.606,0.059,1
11.607,45.54,164,438,12763,20554,937.353,1.85,1.93,12.76,1.989,0.045,0
26.75,48.23,1096,500,12850,19462,938.857,1.94,2.02,13.36,2.084,0.047,1
-19.563,48.52,1283,400,12971,19404,938.747,2,2.08,13.78,2.149,0.049,1
9.98,47.92,168,400,13158,20007,939.625,0.95,0.99,6.53,1.018,0.023,0
20.671,47.33,1061,543,12830,19463,938.953,2.06,2.14,14.18,2.211,0.05,1
24.57,53.07,1256,400,12999,19414,938.783,1.74,1.81,11.99,1.87,0.042,1
25.61,46.01,0,400,13051,20848,937.467,2.12,2.21,14.61,2.278,0.051,0
-0.325,51.03,929,687,12786,19504,939.087,2.48,2.58,17.08,2.664,0.06,1
-21.825,54.24,1323,403,12971,19404,938.706,1.87,1.95,12.9,2.012,0.045,1
4.601,48.14,948,644,12792,19485,939.06,2.39,2.48,16.42,2.56,0.058,1
16.958,47.14,1051,583,12824,19470,939.029,2.09,2.17,14.36,2.239,0.051,1
24.47,53.65,1164,406,12881,19435,938.744,1.54,1.6,10.6,1.653,0.037,1
20.712,47.7,1220,404,12921,19431,938.72,1.6,1.66,10.99,1.713,0.039,1
24.69,50.65,695,723,12768,19565,939.141,2.21,2.3,15.21,2.371,0.054,1
20.4,51.05,110,400,13228,20101,939.644,2.27,2.36,15.6,2.433,0.055,1
26.03,52.89,1097,400,12886,19448,938.814,1.81,1.88,12.45,1.941,0.044,1
20.61,52.56,359,400,13067,19908,939.263,0.41,0.43,2.85,0.444,0.01,1
20.81,50.88,328,400,13104,19944,939.371,0.27,0.28,1.84,0.286,0.006,1
13.39,53.94,2,400,12701,19747,939.804,0.08,0.11,0.47,0.116,0.028,0
-9.169,46.39,48,400,12805,20678,937.487,1.82,1.89,12.52,1.952,0.044,0
-4.224,52.02,309,400,13117,19965,939.398,0.26,0.27,1.79,0.28,0.006,1
-21.785,52.58,1316,400,12988,19398,938.706,1.71,1.78,11.76,1.834,0.041,1
28.77,60.77,2463,400,13349,19995,936.915,1.07,1.11,7.36,1.148,0.026,0
26.98,47.49,1088,477,12863,19460,938.909,1.53,1.59,10.51,1.638,0.037,1
20.434,50.68,16,435,12481,19509,939.772,0.14,0.5,0.12,0.569,0.34,0
28.48,42.52,64,400,12786,20649,937.419,1.86,1.94,12.82,1.999,0.045,0
12.373,53.36,1122,410,12884,19445,938.775,1.6,1.66,10.99,1.714,0.039,1
24.54,53.45,1143,402,12893,19438,938.776,1.73,1.8,11.94,1.862,0.042,1
26.48,48.35,1027,596,12817,19475,939.061,1.95,2.02,13.39,2.089,0.047,1
22.43,47.83,92,400,13238,20125,939.649,2,2.08,13.77,2.147,0.048,1
-8.518,50.34,32,400,13247,20181,939.684,1.9,1.97,13.08,2.04,0.046,1
-6.18,40.94,72,400,12785,20663,937.505,1.92,2,13.23,2.063,0.047,0
26.32,49.48,1011,590,12822,19476,939.079,1.96,2.03,13.48,2.102,0.047,1
25.48,43.78,0,400,13261,21212,937.479,1.98,2.06,13.64,2.127,0.048,0
-8.046,41.06,56,400,12792,20657,937.455,1.99,2.07,13.71,2.137,0.048,0
25.54,54.28,1318,400,12981,19405,938.712,1.89,1.96,12.99,2.025,0.046,1
20.784,52.6,1193,403,12917,19427,938.719,1.85,1.92,12.74,1.987,0.045,1
56.7,12.13,24428,400,13025,18920,936.701,4.8,5.41,32.01,5.658,0.524,0
25.286,52.51,29,400,13115,20021,939.603,0.71,0.74,4.89,0.763,0.017,0
20.33,53.41,275,400,13132,19991,939.454,0.41,0.43,2.85,0.445,0.01,1
14.454,53.08,1090,616,12812,19471,939.088,2.03,2.11,13.98,2.179,0.049,1
-21.085,52.63,1387,420,12966,19377,938.693,1.85,1.92,12.71,1.983,0.045,1
19.984,53.9,1147,400,12924,19438,938.727,1.67,1.74,11.53,1.797,0.041,1
26.87,48.09,1159,400,12933,19430,938.726,1.85,1.92,12.72,1.983,0.045,1
16.214,51.57,1197,400,12931,19433,938.731,1.35,1.41,9.31,1.451,0.033,1
-7.732,55.5,177,400,13166,20083,939.644,0.82,0.85,5.64,0.879,0.02,1
-19.253,51.97,1346,411,12968,19386,938.754,1.89,1.96,12.98,2.023,0.046,1
-21.772,52.56,1312,410,12969,19394,938.714,1.93,2,13.27,2.069,0.047,1
26.95,47.5,1099,522,12839,19452,938.879,2.18,2.26,14.99,2.338,0.053,1
10.28,49.76,1023,617,12809,19478,939.104,2.04,2.12,14.02,2.186,0.049,1
19.26,52.57,238,400,13126,20032,939.627,0.5,0.52,3.44,0.536,0.012,1
-7.624,52.82,1329,400,12991,19400,938.783,2.34,2.43,16.12,2.514,0.057,1
54.83,11.98,2277,400,13614,20104,936.717,0.51,0.53,3.53,0.55,0.012,0
-14.996,48.58,1381,401,12981,19377,938.727,1.89,1.97,13.02,2.03,0.046,1
18.534,46.99,1138,493,12847,19442,938.895,2,2.07,13.74,2.143,0.048,1
-19.425,53.58,1302,400,12988,19405,938.71,1.8,1.87,12.39,1.932,0.044,1
26.78,47.73,1044,561,12828,19463,938.978,1.83,1.9,12.58,1.962,0.044,1
19.529,46.93,1094,511,12850,19465,938.879,1.98,2.06,13.65,2.129,0.048,1
26.12,50.52,1059,606,12809,19467,939.069,1.94,2.01,13.33,2.079,0.047,1
14.12,41.41,0,400,13455,21223,937.043,1.66,1.72,11.41,1.779,0.04,0
26.63,48.21,1170,400,13040,19445,938.749,2.09,2.18,14.41,2.247,0.051,1
26.32,48.2,923,651,12800,19497,939.069,2.03,2.11,13.97,2.178,0.049,1
21.46,49.22,201,400,13147,20061,939.604,0.81,0.84,5.58,0.871,0.02,1
17.517,56.51,3432,400,13245,19748,936.924,0.54,0.56,3.71,0.578,0.013,0
22.33,56.3,720,764,12746,19549,939.158,2.64,2.75,18.2,2.838,0.064,1
25.16,49.91,1343,415,12952,19388,938.73,1.81,1.88,12.45,1.941,0.044,1
25.44,54,1218,400,13010,19414,938.79,1.82,1.89,12.5,1.95,0.044,1
26.305,42.46,39,400,12837,20728,937.553,1.98,2.06,13.63,2.126,0.048,0
13.24,53.86,10,400,12624,19699,939.807,0.05,0.09,0.23,0.099,0.04,0
38.07,14.95,0,979,13086,20684,930.931,1.05,1.09,7.2,1.122,0.025,1
-5.048,61.83,610,545,12874,19644,939.212,2.37,2.47,16.34,2.548,0.058,1
21.87,49.42,130,400,13194,20133,939.668,1.58,1.64,10.89,1.698,0.038,1
18.508,48.55,1348,426,12983,19389,938.866,1.61,1.67,11.07,1.726,0.039,1
19.82,49.98,346,400,13091,19917,939.391,0.26,0.27,1.81,0.282,0.006,1
14.232,48.28,1057,400,12901,19461,938.785,1.68,1.74,11.55,1.801,0.041,1
15.376,47.17,1088,602,12812,19457,939.041,2.12,2.2,14.58,2.273,0.051,1
15.21,43.5,211,420,12769,20523,937.43,1.46,1.52,10.05,1.567,0.035,0
24.48,53.55,1346,410,12954,19385,938.717,1.92,2,13.23,2.063,0.047,1
-7.13,48.44,1364,405,12960,19396,938.723,2.07,2.15,14.22,2.218,0.05,1
6.698,54.48,275,400,13143,19940,939.667,1.85,1.92,12.7,1.981,0.045,1
24.68,53.1,1230,409,12920,19423,938.692,1.77,1.84,12.19,1.9,0.043,1
-4.594,56.59,331,400,13099,19937,939.358,0.24,0.25,1.63,0.254,0.006,1
20.833,53.33,1151,545,12830,19448,938.913,1.82,1.9,12.56,1.958,0.044,1
14.406,53.61,1122,400,12943,19443,938.722,2.04,2.12,14.04,2.189,0.049,1
14.658,47.99,1143,400,12896,19449,938.804,1.96,2.03,13.46,2.099,0.047,1
19.687,53.15,1243,416,12915,19411,938.688,1.43,1.49,9.87,1.54,0.035,1
5.789,18.46,0,400,13643,21341,936.799,0.95,0.98,6.52,1.017,0.023,0
24.66,53.01,1389,409,12961,19382,938.752,1.88,1.95,12.95,2.019,0.046,1
-9.068,52.66,16,400,13255,20214,939.711,2.97,3.09,20.45,3.189,0.072,1
12.116,47.42,1163,403,12883,19441,938.815,1.65,1.72,11.36,1.772,0.04,1
15.3,51.58,103,400,13181,20070,939.655,1.09,1.14,7.52,1.173,0.026,0
26.84,48.21,1178,404,12910,19435,938.691,1.53,1.58,10.5,1.637,0.037,1
21.12,45.62,130,400,13166,20037,939.628,1.18,1.23,8.13,1.267,0.029,0
-6.018,51.17,202,400,13153,20062,939.598,0.5,0.51,3.41,0.532,0.012,1
18.98,52.33,308,400,13102,19946,939.411,0.47,0.48,3.21,0.5,0.011,1
26.72,48.67,1228,400,12910,19427,938.716,1.69,1.75,11.61,1.811,0.041,1
24.46,55.85,11,400,12703,19733,939.848,0.05,0.07,0.32,0.073,0.015,0
24.59,53.24,1126,400,12903,19441,938.717,1.57,1.63,10.83,1.688,0.038,1
-0.128,53.77,1364,419,12979,19383,938.799,1.82,1.89,12.54,1.955,0.044,1
38.42,15.45,443,6156,12173,19660,930.907,1.29,1.34,8.85,1.379,0.031,1
20.571,46.92,1115,519,12842,19448,938.885,2.06,2.14,14.19,2.212,0.05,1
26.75,48.17,1149,503,12848,19439,938.902,2.01,2.09,13.86,2.162,0.049,1
25.86,47.71,85,400,12780,20634,937.46,1.66,1.73,11.43,1.782,0.04,0
10.975,16.68,682,400,13713,20522,936.698,0.8,0.83,5.53,0.862,0.019,0
18.16,52.43,77,400,13198,20102,939.648,1.28,1.33,8.83,1.377,0.031,0
-4.125,49.01,1314,400,12958,19399,938.698,1.64,1.71,11.31,1.764,0.04,1
29.65,39.63,32,400,12839,20747,937.591,2.17,2.25,14.94,2.329,0.053,0
15.639,54.32,1090,400,12950,19455,938.703,1.47,1.53,10.14,1.582,0.036,1
26.739,55.07,0,400,13105,19989,939.717,0.41,0.43,2.82,0.44,0.01,0
24.36,53.91,1410,425,12942,19381,938.682,1.86,1.94,12.83,2.001,0.045,1
17.778,51.58,0,400,13243,20188,939.602,0.97,1.01,6.7,1.045,0.024,0
22.781,55.66,8,400,12601,19672,939.801,0.11,0.23,0.5,0.261,0.115,0
-20.455,48.99,1356,400,12972,19389,938.746,1.89,1.97,13.04,2.033,0.046,1
24.98,51.55,1107,401,12888,19447,938.744,1.81,1.88,12.48,1.946,0.044,1
21.18,49.76,227,400,13145,20046,939.611,0.46,0.48,3.16,0.493,0.011,1
24.76,52.8,1203,401,12919,19419,938.702,1.45,1.5,9.95,1.552,0.035,1
29.3,40.51,65,400,12833,20706,937.55,1.99,2.07,13.72,2.139,0.048,0
27.08,47.43,1151,413,12879,19443,938.808,1.74,1.81,12,1.871,0.042,1
-21.84,53.04,1454,432,12961,19367,938.705,1.92,2,13.22,2.061,0.047,1
21.63,51.06,97,400,13214,20165,939.653,1.95,2.02,13.39,2.088,0.047,1
-2.315,47.82,1302,404,12954,19399,938.706,1.98,2.06,13.63,2.125,0.048,1
6.029,52.45,1071,659,12789,19462,939.076,2.16,2.25,14.88,2.321,0.052,1
11.999,47.22,1172,413,12876,19440,938.804,1.68,1.75,11.59,1.807,0.041,1
14.715,46.47,933,400,13008,19497,938.754,2.24,2.33,15.41,2.403,0.054,1
-8.466,51.88,1358,400,12958,19386,938.716,2.45,2.55,16.86,2.63,0.059,1
-6.971,53.62,211,400,13142,20058,939.581,0.62,0.64,4.27,0.665,0.015,1
10.925,47.24,1186,400,12960,19427,938.759,2.02,2.1,13.93,2.173,0.049,1
26.29,49.54,1013,600,12821,19476,939.052,1.86,1.93,12.79,1.995,0.045,1
19.5,57.94,337,400,13082,19925,939.245,0.53,0.55,3.67,0.572,0.013,1
-0.001,55.4,904,688,12781,19505,939.097,2.6,2.7,17.92,2.794,0.063,1
20.485,24.06,16887,613,12706,18993,936.906,0.89,0.92,6.1,0.951,0.021,0
9.958,51.66,1067,643,12796,19459,939.076,1.75,1.82,12.03,1.877,0.042,1
20.63,49.41,53,400,13245,20166,939.663,2.55,2.65,17.54,2.735,0.062,1
-4.656,56.19,256,400,13126,20009,939.526,0.48,0.5,3.32,0.518,0.012,1
-7.623,48.75,203,400,13150,20065,939.656,0.91,0.95,6.28,0.98,0.022,1
26.846,39.4,30,400,12843,20751,937.588,1.89,1.96,12.99,2.026,0.046,0
26.79,40.4,41,429,12824,20731,937.607,2.09,2.17,14.41,2.246,0.051,0
29.63,39.69,66,402,12826,20711,937.534,2.03,2.11,14,2.183,0.049,0
48.56,14.73,929,400,13714,20437,936.685,0.76,0.79,5.2,0.811,0.018,0
18.76,54.29,273,400,13120,19990,939.479,0.41,0.42,2.8,0.436,0.01,1
24.37,54.14,1398,411,12968,19381,938.716,1.84,1.91,12.64,1.971,0.045,1
26.96,47.73,1195,404,12913,19429,938.713,1.84,1.91,12.65,1.972,0.045,1
15.588,49.04,213,434,12763,20511,937.418,1.25,1.3,8.64,1.347,0.03,0
-7.238,49.21,188,400,13160,20076,939.627,0.85,0.88,5.83,0.91,0.021,1
24.49,53.36,1256,400,12954,19414,938.766,2.05,2.13,14.11,2.201,0.05,1
24.9,51.61,1337,400,12990,19387,938.756,1.49,1.54,10.23,1.595,0.036,1
25,51.17,1203,410,12898,19434,938.706,1.45,1.5,9.95,1.552,0.035,1
-4.625,41.6,105,400,12798,20621,937.338,1.76,1.83,12.14,1.894,0.043,0
7.794,64.09,198,400,13196,20025,939.7,2.37,2.46,16.31,2.544,0.057,1
20.95,50.28,326,400,13100,19930,939.365,0.29,0.3,2,0.311,0.007,1
26.92,47.82,1308,400,12973,19403,938.755,2.01,2.09,13.85,2.16,0.049,1
20.284,48.35,1237,552,12829,19428,938.905,2.12,2.2,14.59,2.275,0.051,1
24.27,54.28,1394,425,12981,19386,938.778,1.75,1.82,12.04,1.877,0.042,1
12.272,42.22,0,400,13216,21111,937.48,1.67,1.73,11.48,1.79,0.04,0
17.213,50.91,1061,468,12866,19460,938.907,1.87,1.94,12.85,2.003,0.045,1
11.842,47.28,149,433,12775,20566,937.352,1.83,1.91,12.62,1.968,0.044,0
25.92,48.75,188,424,12767,20529,937.381,1.78,1.85,12.23,1.907,0.043,0
20.687,52.77,1207,405,12925,19429,938.709,1.38,1.43,9.5,1.482,0.033,1
16.351,48.16,70,400,13200,20113,939.641,1.07,1.12,7.39,1.152,0.026,0
19.097,47.31,1230,424,12895,19424,938.704,1.73,1.79,11.89,1.854,0.042,1
23.659,52.28,78,400,13102,19963,939.605,0.79,0.82,5.45,0.851,0.019,0
24.41,53.3,1141,400,12973,19438,938.73,1.92,2,13.22,2.062,0.047,1
17.4,55.81,0,400,13168,20061,939.615,0.81,0.84,5.57,0.869,0.02,0
18.69,49.71,49,400,13123,20006,939.61,0.72,0.75,4.96,0.774,0.017,0
23.8,53.96,894,660,12794,19500,939.107,2.43,2.52,16.73,2.608,0.059,1
19.432,48.34,203,426,12772,20523,937.39,1.38,1.44,9.51,1.483,0.033,0
0.966,30.4,59969,1124,12437,18366,936.854,75.77,78.73,521.52,81.325,1.837,0
-6.774,48.2,1293,400,13005,19404,938.785,2.14,2.22,14.71,2.295,0.052,1
22.562,53.7,78,400,13116,19983,939.619,0.61,0.63,4.2,0.656,0.015,0
22.43,47.58,60,400,13242,20168,939.661,2.19,2.27,15.06,2.349,0.053,1
-4.674,56.22,691,744,12763,19562,939.16,2.36,2.45,16.23,2.53,0.057,1
21.82,49.86,96,400,13213,20166,939.685,2,2.08,13.76,2.145,0.048,1
21.69,58.73,694,841,12704,19563,939.123,2.55,2.65,17.56,2.739,0.062,1
23.918,55.25,9,400,12671,19715,939.787,0.06,0.09,0.35,0.093,0.025,0
22.02,57.15,226,400,13174,19990,939.674,2.5,2.6,17.2,2.683,0.061,1
-5.02,57.73,623,544,12877,19638,939.215,2.97,3.09,20.46,3.191,0.072,1
-12.601,48.59,1310,400,12964,19388,938.739,1.96,2.03,13.48,2.102,0.047,1
21.43,50.24,176,400,13167,20088,939.638,0.83,0.86,5.72,0.893,0.02,1
1.746,44.15,155,430,12778,20568,937.332,1.9,1.98,13.1,2.044,0.046,0
25.28,49.33,1107,501,12846,19446,938.914,1.63,1.69,11.21,1.748,0.039,1
-20.699,53.55,1354,405,12965,19385,938.754,2.3,2.39,15.86,2.474,0.056,1
-0.599,53.17,130,400,13222,20077,939.624,2.09,2.17,14.39,2.244,0.051,1
-9.017,49.94,9,400,13264,20225,939.728,2.47,2.57,17,2.65,0.06,1
-4.447,55.68,333,400,13100,19938,939.408,0.28,0.29,1.92,0.3,0.007,1
28.08,39.87,61,448,12831,20719,937.573,2.02,2.1,13.94,2.173,0.049,0
0.035,55.69,931,690,12780,19502,939.08,2.57,2.68,17.72,2.763,0.062,1
16.45,53.23,48,400,13121,20004,939.587,0.73,0.75,5,0.78,0.018,0
20.66,47.77,1034,549,12842,19472,938.939,2.07,2.15,14.26,2.224,0.05,1
-3.085,56.86,768,724,12765,19534,939.117,2.55,2.65,17.52,2.732,0.062,1
0.663,55.8,824,650,12798,19524,939.113,1.97,2.05,13.55,2.114,0.048,1
20.15,54.2,255,400,13143,19963,939.685,1.25,1.3,8.59,1.339,0.03,1
21.57,52.48,106,400,13234,20110,939.621,2.17,2.25,14.91,2.325,0.053,1
3.246,53.04,1346,409,12946,19391,938.691,1.89,1.97,13.04,2.033,0.046,1
9.031,48.85,1061,636,12809,19472,939.094,2.53,2.63,17.41,2.714,0.061,1
-3.538,42.66,68,400,12787,20670,937.547,2.19,2.28,15.1,2.355,0.053,0
27.089,39.61,56,405,12847,20729,937.541,2.16,2.25,14.89,2.322,0.052,0
26.72,48.7,1178,400,12924,19432,938.699,1.55,1.62,10.7,1.669,0.038,1
27.123,55.7,0,400,13064,19968,939.737,0.3,0.31,2.08,0.324,0.007,0
24.83,52.32,1233,404,12923,19426,938.71,1.7,1.76,11.68,1.822,0.041,1
24.98,51.53,1172,419,12890,19429,938.796,1.79,1.86,12.33,1.923,0.043,1
24.4,53.92,793,712,12771,19530,939.107,2.28,2.37,15.7,2.448,0.055,1
10.545,49.61,1101,662,12791,19450,939.098,2.47,2.57,17,2.65,0.06,1
17.337,51.55,1105,488,12855,19456,938.897,1.86,1.93,12.8,1.996,0.045,1
26.538,39.05,57,427,12850,20728,937.565,2.24,2.32,15.39,2.399,0.054,0
20.088,53.61,0,400,12432,19058,939.738,0,0,0,0,0,0
17.469,53.3,1149,408,12900,19443,938.73,2.03,2.11,13.95,2.176,0.049,1
26.35,49.61,1134,400,13044,19450,938.751,2.2,2.28,15.13,2.359,0.053,1
0.02,54,1243,400,12972,19416,938.696,2.17,2.25,14.9,2.324,0.052,1
27.02,47.53,1151,400,12898,19441,938.783,1.81,1.88,12.48,1.946,0.044,1
10.744,51.44,1226,400,12955,19427,938.739,2.08,2.16,14.32,2.233,0.05,1
15.731,53.69,1214,410,12896,19428,938.727,1.71,1.78,11.8,1.839,0.042,1
28.31,43.79,159,420,12775,20570,937.422,1.52,1.58,10.44,1.628,0.037,0
18.58,56.5,382,400,13048,19891,939.274,0.48,0.5,3.33,0.519,0.012,1
15.664,53.35,1138,612,12811,19437,939.021,2.05,2.13,14.13,2.204,0.05,1
-4.248,53.79,314,400,13106,19950,939.394,0.37,0.38,2.53,0.394,0.009,1
17.129,47.31,1099,491,12850,19452,938.889,1.92,2,13.22,2.062,0.047,1
-5.409,47.55,1321,403,12958,19402,938.719,1.86,1.93,12.81,1.998,0.045,1
-0.666,49.72,969,716,12770,19486,939.077,2.22,2.3,15.26,2.379,0.054,1
37.62,15.03,462,4738,12284,19983,930.896,1.33,1.38,9.13,1.424,0.032,1
19.91,54.38,38,400,13241,20175,939.688,2.22,2.3,15.27,2.38,0.054,1
12.245,47.56,1197,415,12882,19431,938.771,1.67,1.74,11.52,1.796,0.041,1
25.77,47.92,99,404,12786,20620,937.386,2,2.08,13.76,2.145,0.048,0
17.767,50.99,0,400,13234,20188,939.602,0.99,1.03,6.83,1.065,0.024,0
-4.161,51.62,275,400,13125,19996,939.454,0.43,0.44,2.94,0.459,0.01,1
21.78,49.04,158,400,13179,20106,939.665,0.8,0.83,5.48,0.854,0.019,1
21.04,49.78,256,400,13135,20006,939.468,0.35,0.36,2.39,0.373,0.008,1
0.315,32.54,60000,1586,12207,18042,936.868,30.87,32.07,212.48,33.133,0.748,0
20.773,49.51,1130,400,12924,19440,938.703,1.78,1.85,12.22,1.906,0.043,1
16.989,52.87,1118,495,12853,19450,938.912,1.97,2.05,13.56,2.114,0.048,1
54.11,20.45,60000,12214,11269,16163,936.856,7007,9770.65,41968.52,10499.059,2587.496,0
11.018,47.79,992,615,12811,19472,939.089,2.07,2.15,14.25,2.222,0.05,1
12.474,51.19,151,400,13154,20027,939.621,0.87,0.9,5.97,0.931,0.021,0
12.124,50.96,1205,438,12867,19431,938.839,1.76,1.83,12.13,1.892,0.043,1
24.72,51.95,1134,606,12814,19456,939.024,2.19,2.27,15.06,2.349,0.053,1
19.39,46,144,400,13158,20032,939.681,0.96,1,6.61,1.031,0.023,0
20.08,52.6,139,400,13228,20079,939.663,2.56,2.66,17.62,2.747,0.062,1
